IUCR_Code,IUCR_cat,HOURLYTemp,ID-count
2,CRIM SEXUAL ASSAULT,37,97
2,CRIM SEXUAL ASSAULT,38,72
2,CRIM SEXUAL ASSAULT,39,68
2,CRIM SEXUAL ASSAULT,40,72
2,CRIM SEXUAL ASSAULT,41,77
2,CRIM SEXUAL ASSAULT,42,67
2,CRIM SEXUAL ASSAULT,43,65
2,CRIM SEXUAL ASSAULT,44,83
2,CRIM SEXUAL ASSAULT,45,80
2,CRIM SEXUAL ASSAULT,46,73
2,CRIM SEXUAL ASSAULT,47,80
2,CRIM SEXUAL ASSAULT,48,79
2,CRIM SEXUAL ASSAULT,49,50
2,CRIM SEXUAL ASSAULT,50,51
2,CRIM SEXUAL ASSAULT,51,56
2,CRIM SEXUAL ASSAULT,52,55
2,CRIM SEXUAL ASSAULT,53,59
2,CRIM SEXUAL ASSAULT,54,53
2,CRIM SEXUAL ASSAULT,55,62
2,CRIM SEXUAL ASSAULT,56,54
2,CRIM SEXUAL ASSAULT,57,76
2,CRIM SEXUAL ASSAULT,58,54
2,CRIM SEXUAL ASSAULT,59,67
2,CRIM SEXUAL ASSAULT,60,103
2,CRIM SEXUAL ASSAULT,61,95
2,CRIM SEXUAL ASSAULT,62,68
2,CRIM SEXUAL ASSAULT,63,84
2,CRIM SEXUAL ASSAULT,64,100
2,CRIM SEXUAL ASSAULT,65,122
2,CRIM SEXUAL ASSAULT,66,90
2,CRIM SEXUAL ASSAULT,67,115
2,CRIM SEXUAL ASSAULT,68,117
2,CRIM SEXUAL ASSAULT,69,108
2,CRIM SEXUAL ASSAULT,70,116
2,CRIM SEXUAL ASSAULT,71,97
2,CRIM SEXUAL ASSAULT,72,112
2,CRIM SEXUAL ASSAULT,73,87
2,CRIM SEXUAL ASSAULT,74,71
2,CRIM SEXUAL ASSAULT,75,55
2,CRIM SEXUAL ASSAULT,76,65
2,CRIM SEXUAL ASSAULT,77,66
2,CRIM SEXUAL ASSAULT,78,57
2,CRIM SEXUAL ASSAULT,79,35
2,CRIM SEXUAL ASSAULT,80,46
2,CRIM SEXUAL ASSAULT,81,37
2,CRIM SEXUAL ASSAULT,82,38
2,CRIM SEXUAL ASSAULT,83,21
2,CRIM SEXUAL ASSAULT,84,19
2,CRIM SEXUAL ASSAULT,85,11
2,CRIM SEXUAL ASSAULT,86,15
2,CRIM SEXUAL ASSAULT,87,14
2,CRIM SEXUAL ASSAULT,88,16
2,CRIM SEXUAL ASSAULT,89,7
2,CRIM SEXUAL ASSAULT,90,5
2,CRIM SEXUAL ASSAULT,91,4
2,CRIM SEXUAL ASSAULT,92,3
2,CRIM SEXUAL ASSAULT,93,1
2,CRIM SEXUAL ASSAULT,94,1
3,ROBBERY,-10,1
3,ROBBERY,-8,2
